uql_query,natural_query
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1770"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-06 17:48:37"") OR ([ds6w:modified]>""2024-02-17 03:33:16"")))","""Retrieve documents from the community swym:215dsi0708:DSEXT001:1770 with type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, modified before 2020-03-06 17:48:37 or after 2024-02-17 03:33:16."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:Envvz_2RSduLtzkCeyXNXA"")","""Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:Envvz_2RSduLtzkCeyXNXA."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:508"")","""Retrieve documents where resource UID is swym:215dsi0708:DSEXT001:community:508."""
(owner:ske19 OR username:ske19),"""Retrieve documents owned by ske19 or username ske19"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:88rgD3H3Tt-GpAwI67-ylA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-02-03 15:59:59"") OR ([ds6w:modified]>""2024-05-17 22:49:45"")))","""Give me all documents from the community '88rgD3H3Tt-GpAwI67-ylA' that are of type 'Post', 'Idea', 'Question', or 'WikitreePage with visibility 1, created before February 3, 2023, at 15:59:59 or after May 17, 2024, at 22:49:45."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:cJSK-rLbTDWXgqPV2UlDAQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-11-18 15:43:59"") OR ([ds6w:modified]>""2023-03-08 19:36:57"")))","""Retrieve all documents in the container swym:215dsi0708:DSEXT001:community:cJSK-rLbTDWXgqPV2UlDAQ that are either of type swym:Post, swym:Idea, or swym:Question, or are a swym:WikitreePage with visibility 1, and were modified before 2020-11-18 15:43:59 or after 2023-03-08 19:36:57."""
"uri:""<uuid:d6a139ad-8141-4670-911d-fbb5fb59c0e9>""","""Retrieve the document with the given URI: <uuid:d6a139ad-8141-4670-911d-fbb5fb59c0e9>""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:26kAiXYlTIiD4mfZ556yrA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-06-15 09:52:12"") OR ([ds6w:modified]>""2024-05-16 12:43:05"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:26kAiXYlTIiD4mfZ556yrA' that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with a visibility of 1, and where the modification date is before June 15, 2021, or after May 16, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:dnw4f7DyR8OvLSr-sVbP4g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-01-09 14:27:28"") OR ([ds6w:modified]>""2023-01-09 14:27:28"")))","""Retrieve swym:Post, swym:Idea, swym:Question, or swym:WikitreePage documents with visibility 1, which are located in swym:215dsi0708:DSEXT001:community:dnw4f7DyR8OvLSr-sVbP4g and have a modification date before January 9, 2023 14:27:28 or after January 9, 2023 14:27:28."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2400"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-07-26 10:19:10"") OR ([ds6w:modified]>""2024-02-26 02:43:33"")))","""Get documents from container swym:215dsi0708:DSEXT001:community:2400 that are either posts, ideas, or questions, or are wiki pages with visibility 1, and were modified before 2017-07-26 10:19:10 or after 2024-02-26 02:43:33."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:I-QJ4T2eQcWkFYfOHtlycg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-03-17 06:00:34"") OR ([ds6w:modified]>""2024-05-21 05:48:44"")))","""Retrieve documents from community I-QJ4T2eQcWkFYfOHtlycg with types Post, Idea, or Question, or wiki pages with visibility 1, created before March 17, 2023, 06:00:34 or after May 21, 2024, 05:48:44."""
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:bB1liICVTzyPmWBQjH8v1A"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","""Retrieve documents from the container with the UID 'wym:215dsi0708:DSEXT001:community:bB1liICVTzyPmWBQjH8v1A, which are of type 'Post', 'Idea', or 'Question', or are WikiTree pages with visibility set to 1."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:588"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2012-07-27 17:43:33"") OR ([ds6w:modified]>""2023-11-22 09:53:17"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:588' with type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage with wiki visibility set to 1, created before 27th July 2012 17:43:33 or after 22nd November 2023 09:53:17."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:hku93yVfQyOdO6K6MWyT_w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-10-21 12:13:06"") OR ([ds6w:modified]>""2024-05-13 04:09:13"")))","""Retrieve documents in the 'wym:215dsi0708:DSEXT001:community:hku93yVfQyOdO6K6MWyT_w' container, which are of type 'wym:Post', 'wym:Idea', or 'wym:Question', or are 'wym:WikitreePage' with visibility '1', and were modified before '2020-10-21 12:13:06' or after '2024-05-13 04:09:13'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:lwYIcU39Su2iwB3FTKqn_A"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-23 17:23:04"") OR ([ds6w:modified]>""2024-03-29 17:29:52"")))","""Retrieve documents with container UID swym:215dsi0708:DSEXT001:community:lwYIcU39Su2iwB3FTKqn_A that are either of type post, idea, or question or are Wikitree pages with visibility 1, and were modified before November 23, 2022 17:23:04 or after March 29, 2024 17:29:52."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:x_Tl2p7AT1W9hekURoVo-g"")","Retrieve documents where the resourceUid is ""swym:215dsi0708:DSEXT001:community:x_Tl2p7AT1W9hekURoVo-g""."
"[ds6w:resourceUid]:(""iam:syu3"")",Retrieve documents with resourceUid equal to iam:syu3.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:iUwFJYidQmWEOoq2KlDMig"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-03 14:46:00"") OR ([ds6w:modified]>""2024-05-14 17:01:50"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:iUwFJYidQmWEOoq2KlDMig' that are either of type swym:Post, swym:Idea, swym:Question or swym:WikitreePage with visibility 1, and were modified before March 3, 2020 14:46:00 or after May 14, 2024 17:01:50."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:621"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2012-03-22 21:06:21"") OR ([ds6w:modified]>""2024-05-20 10:06:53"")))","""Retrieve documents where the container UID is 'wym:215dsi0708:DSEXT001:community:621, and the type is either a Post, Idea, or Question, or it's a WikitreePage with visibility set to 1, and modified before March 22, 2012 21:06:21 or after May 20, 2024 10:06:53""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1BQkR-mHS8yXxAej1TqIgA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-01-14 15:26:08"") OR ([ds6w:modified]>""2024-05-17 09:56:58"")))","""Retrieve posts, ideas, or questions in community '1BQkR-mHS8yXxAej1TqIgA' that are wikitree pages with visibility 1, created before January 14, 2021 15:26:08 or after May 17, 2024 09:56:58."""
[ds6w:resourceUid]:(9434b2b7-791f-4dbb-b6c8-0448ad2bf333 OR 2c0cd359-71a8-41f3-9dd5-359840cb5a0c OR 1b1ca8f8-d857-4b06-9e80-58a42423990f OR 41fcd62d-5165-43ab-b47f-9a5bb26dbabd OR ae49de96-19b5-4d10-9fc5-9a75a33d5fdf OR f14ec971-ea9d-404b-9e5d-608f70c78a61 OR 4da0b103-22e3-4a74-9305-a109151cf6e6),"""Find resources with resource UIDs 9434b2b7-791f-4dbb-b6c8-0448ad2bf333, 2c0cd359-71a8f-41f3-9dd5-359840cb5a0c, 1b1ca8f8-d857-4b06-9e80-58a42423990f, 41fcd62d-5165-43ab-b47f-9a5bb26dbabd, ae49de96-19b5b-4d10-9fc5-9a75a33d5fdf, f14ec971-ea9d-404b-9e5d-608f70c78a61, or 4da0b103-22e3-4a74-9305-a109151cf6e6."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:ULvEhFucSNuQpbgUlKqytw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-03-20 12:19:02"") OR ([ds6w:modified]>""2024-03-25 08:32:02"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:ULvEhFucSNuQpbgUlKqytw' that are either a Post, Idea, or Question, or WikiTree pages with visibility 1. Filter results to show documents modified before March 20, 2024 12:19:02 or after March 25, 2024 08:32:02."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:3uA5idJ0QVCZn8hccLs7nQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-10-19 07:41:57"") OR ([ds6w:modified]>""2024-02-14 16:53:31"")))","Give me swym posts, ideas, or questions with community 3uA5idJ0QVCZn8hccLs7nQ and type swym:Post, swym:Idea, or swym:Question, and created before 2020-10-19 07:41:57 or after 2024-02-14 16:53:31."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:7zhjabDvR32gVjoXyTXuGw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-10-17 16:45:24"") OR ([ds6w:modified]>""2024-04-23 12:22:29"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:7zhjabDvR32gVjoXyTXuGw' that are of type 'Post', 'Idea', or 'Question' or Wikitree pages with visibility 1, and were modified before October 17, 2018 16:45:24 or after April 23, 2024 12:22:29."""
"uri:""<uuid:6de2497e-95fd-4c5b-82e4-5d751be712b4>""",Retrieve the document with the specified URI.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:i2IrKjBSTLeXJc5xsGNQlQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-04-29 12:57:05"") OR ([ds6w:modified]>""2024-05-14 06:48:49"")))","""Retrieve documents of type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility set to 1, and container UID swym:215dsi0708:DSEXT001:community:i2IrKjBSTLeXJc5xsGNQlQ, created before 2020-04-29 12:57:05 or after 2024-05-14 06:48:49."""
[ds6w:label]:KVI*,"""Search for documents with label KVI*"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:18"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-04-30 17:04:11"") OR ([ds6w:modified]>""2024-05-20 08:54:32"")))","""Give me documents from the community '18' in the container 'wym:215dsi0708:DSEXT001' that are of type 'Post', 'Idea', or 'Question', or are a 'WikitreePage' with visibility 1, and were modified before April 30, 2009, 17:04:11 or after May 20, 2024, 08:54:32."""
"[ds6w:modified] >= ""2024-05-21T06:21:27Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)",Retrieve documents modified after 2024-05-21T06:21:27Z and of type DriveFile or DriveFolder.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:FjijAEDOR9-CYVeMxJ_GJA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-05-25 14:51:26"") OR ([ds6w:modified]>""2022-12-14 09:34:51"")))","""Find documents with container UID swym:215dsi0708:DSEXT001:community:FjijAEDOR9-CYVeMxJ_GJA that are either posts, ideas, or questions, or are wiki pages with visibility 1, and were modified between May 25, 2021, 14:51:26 and December 14, 2022, 09:34:51."""
physicalid:CF9A9B49A185190066338AE900005B7E,"""Retrieve documents with physical ID CF9A9B49A185190066338AE900005B7E."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:9FiAOCZPQN6odh-Ehg7zTA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-05-03 10:56:01"") OR ([ds6w:modified]>""2024-05-20 15:56:11"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:9FiAOCZPQN6odh-Ehg7zTA' that are of type Post, Idea, or Question, or are WikiTree pages with visibility set to 1, and were modified before May 3, 2022 10:56:01 or after May 20, 2024 15:56:11."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:797"")","Retrieve resources with the specific resource UID ""swym:215dsi0708:DSEXT001:community:797""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:hKDO3MbfRNWVQvoTvqj8eQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-07-07 11:40:22"") OR ([ds6w:modified]>""2024-05-15 15:44:47"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:hKDO3MbfRNWVQvoTvqj8eQ' that are either of type 'wym:Post', 'wym:Idea', or 'wym:Question' or are of type 'wym:WikitreePage' with visibility 1. Filter results to include documents modified before '2020-07-07 11:40:22' or after '2024-05-15 15:44:47'."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:110"")",Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:110.
([ds6w:label]:(*21.2*)),"""Find documents with label containing '21.2'"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2010"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-10-10 16:26:05"") OR ([ds6w:modified]>""2016-10-19 11:20:01"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:2010' that are of type 'Post', 'Idea', 'Question', or 'WikitreePage with visibility 1, and were modified between 2016-10-10 16:26:05 and 2016-10-19 11:20:01."""
"[ds6w:modified] >= ""2024-05-21T05:56:09Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","""Show me files or folders modified on or after May 21, 2024, 5:56:09 AM."""
"[ds6w:modified] >= ""2024-05-21T04:25:04Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","""Retrieve documents modified after May 21st, 2024 4:25:04 AM that are either Drive Files or Drive Folders."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:A7jnYtNqR26nlQeeR6nerg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-03-03 16:04:12"") OR ([ds6w:modified]>""2024-05-17 09:54:04"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:A7jnYtNqR26nlQeeR6nerg' of type Post, Idea, or Question, or WikitreePage with visibility 1, created before 2021-03-03 16:04:12 or after 2024-05-17 09:54:04."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:8WeTivZvT7Gm-Ie1_kaEGg"")","Retrieve documents with resourceUid matching ""swym:215dsi0708:DSEXT001:community:8WeTivZvT7Gm-Ie1_kaEGg""."
[ds6w:label]:(3DSone dashboard*),"Retrieve documents with labels containing ""3DSone dashboard*""."
[ds6w:resourceUid]:(2a87f011-ccdb-4aff-bddc-5e42faae924d),Retrieve the document with resource UID 2a87f011-ccdb-4aff-bddc-5e42faae924d.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:BMg8tjGBQqWaOeDs3FyJrA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-01-10 16:32:49"") OR ([ds6w:modified]>""2020-02-12 23:52:21"")))","""Retrieve documents from container swym:215dsi0708:DSEXT001:community:BMg8tjGBQqWaOeDs3FyJrA that are of type swym:Post, swym:Idea, or swym:Question, or are of type swym:WikitreePage with visibility 1, and were modified before 2020-01-10 16:32:49 or after 2020-02-12 23:52:21."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2333"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-06-02 09:25:15"") OR ([ds6w:modified]>""2024-05-20 11:50:00"")))","""Retrieve documents from container swym:215dsi0708:DSEXT001:community:2333 that are either swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, and were modified before 2017-06-02 09:25:15 or after 2024-05-20 11:50:00."""
"[ds6w:modified] >= ""2024-05-21T03:59:56Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","Retrieve documents modified on or after May 21, 2024, 3:59:56 AM and of type DriveFile or DriveFolder."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:r1fYiOJvQLS0dLWo3R6yLQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-11-08 10:44:57"") OR ([ds6w:modified]>""2023-05-11 15:36:30"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:r1fYiOJvQLS0dLWo3R6yLQ' that are of type Post, Idea, or Question, or are Wikitree pages with visibility set to 1, and were modified before November 8, 2021 10:44:57 or after May 11, 2023 15:36:30."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1868"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-05-31 15:30:25"") OR ([ds6w:modified]>""2020-03-12 13:41:41"")))","""Retrieve community documents from container swym:215dsi0708:DSEXT001:1868 that are either type swym:Post, swym:Idea, or swym:Question, or are type swym:WikitreePage with visibility set to 1, and were modified before May 31, 2016 15:30:25 or after March 12, 2020 13:41:41."""
3DPart using WebServices,"""Retrieve 3D parts that can be accessed using Web Services."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:v-0dU5X-TjeXXzDq7o-7wQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-04-04 00:47:23"") OR ([ds6w:modified]>""2024-05-17 04:45:32"")))","""Find posts, ideas, or questions in the 'wym:215dsi0708:DSEXT001:community:v-0dU5X-TjeXXzDq7o-7wQ' container, with type post, idea, or question, or if the type is a Wikitree page with visibility 1, and modified date before 2019-04-04 00:47:23 or after 2024-05-17 04:45:32."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:600"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2012-03-20 14:55:40"") OR ([ds6w:modified]>""2018-08-31 07:20:09"")))","""Retrieve posts, ideas, or questions from the 'wym:215dsi0708:DSEXT001:community:600' community that are either WikiTree pages with visibility 1 or posts, ideas, or questions of type swym:Post, swym:Idea, or swym:Question, and were modified before March 20, 2012, 14:55:40 or after August 31, 2018, 07:20:09."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:496"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-10-05 15:13:21"") OR ([ds6w:modified]>""2024-05-10 13:00:35"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:496' that are either a swym:Post, swym:Idea, or swym:Question, or are a swym:WikitreePage with visibility set to 1, and were modified before October 5, 2011 15:13:21 or after May 10, 2024 13:00:35."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:369"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-02-18 16:32:10"") OR ([ds6w:modified]>""2024-02-06 19:10:30"")))","""Retrieve documents from the community 'wym:215dsi0708:DSEXT001:community:369' that are of type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with wiki visibility set to 1, and updated between 2011-02-18 16:32:10 and 2024-02-06 19:10:30."""
